XYZ (13541 points)
11478.516 1852.253 19.916
11506.156 1957.237 23.026
11532.322 2056.619 29.931
12130.844 91.114 20.000
11867.018 148.762 20.000
6361.040 4680.583 69.997
16040.495 265.835 30.000
16041.470 653.535 19.213
12200.484 -166.771 20.000
11767.939 -875.373 20.000
11887.120 -621.191 20.000
14165.126 -2266.179 6.215
13875.932 -2188.819 5.127
13586.738 -2111.458 5.922
13297.544 -2034.097 6.934
13008.350 -1956.736 7.129
12719.156 -1879.376 7.255
12429.962 -1802.015 10.363
12140.768 -1724.654 19.120
11851.574 -1647.294 15.000
15384.144 -1537.126 20.000
15151.688 -1738.730 15.000
14919.232 -1940.333 15.000
14686.776 -2141.937 15.000
16090.274 -1128.788 15.000
16845.316 -395.837 9.813
16774.184 -708.137 9.251
16587.770 38.721 10.040
11719.415 3659.648 30.701
11744.734 3765.419 40.153
11772.637 3881.986 47.660
11804.562 4015.356 49.249
11841.756 4170.741 49.811
11884.467 4349.170 47.661
15493.445 5191.441 -20.000
15613.445 4950.013 -20.000
15720.119 4735.396 -20.000
15815.843 4542.809 -20.000
15438.311 5750.406 -20.000
13086.710 6679.919 21.546
13389.980 6600.984 29.961
13693.250 6522.049 18.969
13996.521 6443.114 36.718
6373.616 4650.187 69.998
14906.330 6206.309 2.401
12287.023 6030.897 12.282
12351.406 6299.862 23.165
12415.788 6568.826 29.495
11979.304 4745.362 28.623
12030.827 4960.605 22.791
12088.244 5200.471 10.059
12152.834 5470.303 29.701
2917.424 5156.425 81.286
1424.669 5795.121 90.000
1254.444 5658.885 80.997
15309.532 4389.095 -11.151
1292.869 5648.404 86.691
5171.779 4032.651 47.670
5638.201 4495.670 39.640
4723.378 4350.748 90.000
5619.090 4504.749 40.000
16640.158 2871.390 0.484
5650.671 4503.095 39.909
8730.277 3471.081 23.275
5736.320 4439.352 36.109
4971.173 3922.361 89.691
14245.021 1690.802 3.130
4538.034 3118.640 80.000
4667.229 2983.464 90.004
4673.225 4385.002 90.433
6246.350 4393.240 37.539
8535.558 3407.667 23.934
7294.029 2602.052 44.944
14263.200 1779.123 0.271
7126.778 3279.533 29.839
13490.001 2189.000 3.103
12986.793 2696.277 7.290
5636.081 4411.314 35.053
13163.704 2052.398 8.448
2642.617 5656.553 89.585
6118.817 4962.446 69.775
5511.343 3884.132 100.000
